; export date: Fri Oct 31 14:50:21 CET 2008
; graph id: (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union (union null + eco00010) + eco00020) + eco00030) + eco00040) + eco00051) + eco00052) + eco00053) + eco00062) + eco00071) + eco00100) + eco00120) + eco00130) + eco00150) + eco00220) + eco00230) + eco00240) + eco00251) + eco00252) + eco00260) + eco00271) + eco00272) + eco00280) + eco00281) + eco00290) + eco00300) + eco00310) + eco00330) + eco00340) + eco00350) + eco00360) + eco00361) + eco00362) + eco00364) + eco00380) + eco00400) + eco00401) + eco00410) + eco00430) + eco00450) + eco00460) + eco00471) + eco00473) + eco00480) + eco00500) + eco00520) + eco00521) + eco00523) + eco00530) + eco00540) + eco00550) + eco00561) + eco00562) + eco00564) + eco00590) + eco00592) + eco00600) + eco00620) + eco00621) + eco00622) + eco00624) + eco00626) + eco00627) + eco00628) + eco00629) + eco00630) + eco00632) + eco00633) + eco00640) + eco00641) + eco00642) + eco00643) + eco00650) + eco00660) + eco00670) + eco00680) + eco00710) + eco00720) + eco00730) + eco00740) + eco00750) + eco00760) + eco00770) + eco00780) + eco00785) + eco00790) + eco00791) + eco00860) + eco00900) + eco00903) + eco00910) + eco00920) + eco00930) + eco00940) + eco00950) + eco00960) + eco00970) + eco00980) + eco00982) + eco00983) + eco01040) + eco01053) + organism-specific_graph)
; comments: 
;NODES	ObjectType	ExclusionAttribute	Label	ECNumber
R04035<	Reaction	R04035	R04035	3.6.1.31
C05552	Compound	C05552	N6-D-Biotinyl-L-lysine	NA
R04470>	Reaction	R04470	R04470	3.2.1.22
C04462	Compound	C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	NA
R00497>	Reaction	R00497	R00497	6.3.2.3
R04470<	Reaction	R04470	R04470	3.2.1.22
R00497<	Reaction	R00497	R00497	6.3.2.3
R03277>	Reaction	R03277	R03277	4.1.2.20
C03373	Compound	C03373	Aminoimidazole ribotide	NA
R03277<	Reaction	R03277	R03277	4.1.2.20
C02282	Compound	C02282	Glutaminyl-tRNA	NA
C01190	Compound	C01190	Glucosylceramide	NA
C05546	Compound	C05546	Protein N6,N6,N6-trimethyl-L-lysine	NA
R04034>	Reaction	R04034	R04034	3.1.1.32
R04034<	Reaction	R04034	R04034	3.1.1.32
C04454	Compound	C04454	5-Amino-6-(5'-phosphoribitylamino)uracil	NA
R03276>	Reaction	R03276	R03276	5.1.2.3
R03276<	Reaction	R03276	R03276	5.1.2.3
C03360	Compound	C03360	4-Nitrophenyl phosphate	NA
R00278>	Reaction	R00278	R00278	1.4.3.5
C01187	Compound	C01187	3-Deoxy-D-manno-octulosonate	NA
R00278<	Reaction	R00278	R00278	1.4.3.5
C01185	Compound	C01185	Nicotinate D-ribonucleotide	NA
C00099	Compound	C00099	beta-Alanine	NA
C01182	Compound	C01182	D-Ribulose 1,5-bisphosphate	NA
R01253>	Reaction	R01253	R01253	1.5.99.8
C00097	Compound	C00097	L-Cysteine	NA
C00096	Compound	C00096	GDP-mannose	NA
C01180	Compound	C01180	4-Methylthio-2-oxobutanoic acid	NA
R01253<	Reaction	R01253	R01253	1.5.99.8
C00095	Compound	C00095	D-Fructose	NA
C00094	Compound	C00094	Sulfite	NA
C00093	Compound	C00093	sn-Glycerol 3-phosphate	NA
C00092	Compound	C00092	D-Glucose 6-phosphate	NA
C00091	Compound	C00091	Succinyl-CoA	NA
C00090	Compound	C00090	Catechol	NA
C04442	Compound	C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	NA
R01470>	Reaction	R01470	R01470	[3.1.4.46, 3.1.4.2]
R01470<	Reaction	R01470	R01470	[3.1.4.46, 3.1.4.2]
C02265	Compound	C02265	D-Phenylalanine	NA
C01179	Compound	C01179	3-(4-Hydroxyphenyl)pyruvate	NA
C02262	Compound	C02262	NA	NA
R00277>	Reaction	R00277	R00277	1.4.3.5
C01177	Compound	C01177	Inositol 1-phosphate	NA
R00277<	Reaction	R00277	R00277	1.4.3.5
C00089	Compound	C00089	Sucrose	NA
C00088	Compound	C00088	Nitrite	NA
C01172	Compound	C01172	beta-D-Glucose 6-phosphate	NA
C06613	Compound	C06613	3-Chloroallyl aldehyde	NA
C05528	Compound	C05528	3-Sulfopyruvate	NA
C06612	Compound	C06612	cis-3-Chloro-2-propene-1-ol	NA
C01170	Compound	C01170	UDP-N-acetyl-D-mannosamine	NA
C05527	Compound	C05527	3-Sulfinylpyruvate	NA
C06611	Compound	C06611	trans-3-Chloro-2-propene-1-ol	NA
C00085	Compound	C00085	D-Fructose 6-phosphate	NA
C00084	Compound	C00084	Acetaldehyde	NA
C00083	Compound	C00083	Malonyl-CoA	NA
C00082	Compound	C00082	L-Tyrosine	NA
C00081	Compound	C00081	ITP	NA
C00080	Compound	C00080	H+	NA
R01034>	Reaction	R01034	R01034	1.1.1.6
R00494>	Reaction	R00494	R00494	[2.3.2.2, 3.4.11.4]
C04431	Compound	C04431	cis-4-Carboxymethylenebut-2-en-4-olide	NA
R01034<	Reaction	R01034	R01034	1.1.1.6
R00494<	Reaction	R00494	R00494	[2.3.2.2, 3.4.11.4]
C03345	Compound	C03345	2-Methylbut-2-enoyl-CoA	NA
C03344	Compound	C03344	2-Methylacetoacetyl-CoA	NA
C03340	Compound	C03340	L-2,3-Dihydrodipicolinate	NA
R03165>	Reaction	R03165	R03165	4.2.1.75
R03165<	Reaction	R03165	R03165	4.2.1.75
C01165	Compound	C01165	L-Glutamate 5-semialdehyde	NA
C00079	Compound	C00079	L-Phenylalanine	NA
C00078	Compound	C00078	L-Tryptophan	NA
C05519	Compound	C05519	L-Allothreonine	NA
R01251>	Reaction	R01251	R01251	1.5.1.2
R05608>	Reaction	R05608	R05608	4.2.1.42
C00077	Compound	C00077	L-Ornithine	NA
R01251<	Reaction	R01251	R01251	1.5.1.2
R02719>	Reaction	R02719	R02719	3.1.3.5
R05608<	Reaction	R05608	R05608	4.2.1.42
C00075	Compound	C00075	UTP	NA
C00074	Compound	C00074	Phosphoenolpyruvate	NA
R02719<	Reaction	R02719	R02719	3.1.3.5
R04031>	Reaction	R04031	R04031	[4.2.1.-, 4.2.1.113]
C00073	Compound	C00073	L-Methionine	NA
C00072	Compound	C00072	Ascorbate	NA
R04031<	Reaction	R04031	R04031	[4.2.1.-, 4.2.1.113]
C00071	Compound	C00071	Aldehyde	NA
C05512	Compound	C05512	Deoxyinosine	NA
C04421	Compound	C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	NA
C14899	Compound	C14899	3-Dehydro-L-gulonate 6-phosphate	NA
R02936>	Reaction	R02936	R02936	1.1.1.154
R02936<	Reaction	R02936	R02936	1.1.1.154
C01157	Compound	C01157	trans-4-Hydroxy-L-proline	NA
C00068	Compound	C00068	Thiamin diphosphate	NA
C01152	Compound	C01152	N(pi)-Methyl-L-histidine	NA
R05607>	Reaction	R05607	R05607	1.1.1.140
C00067	Compound	C00067	Formaldehyde	NA
C01151	Compound	C01151	D-Ribose 1,5-bisphosphate	NA
R05607<	Reaction	R05607	R05607	1.1.1.140
C00065	Compound	C00065	L-Serine	NA
C00064	Compound	C00064	L-Glutamine	NA
R04030>	Reaction	R04030	R04030	6.2.1.26
C00063	Compound	C00063	CTP	NA
C00062	Compound	C00062	L-Arginine	NA
R04030<	Reaction	R04030	R04030	6.2.1.26
C00061	Compound	C00061	FMN	NA
R02297>	Reaction	R02297	R02297	2.4.2.1
R02297<	Reaction	R02297	R02297	2.4.2.1
C04411	Compound	C04411	(2R,3S)-3-Isopropylmalate	NA
C15973	Compound	C15973	Enzyme N6-(dihydrolipoyl)lysine	NA
C15972	Compound	C15972	Enzyme N6-(lipoyl)lysine	NA
R02935>	Reaction	R02935	R02935	1.1.1.154
C02235	Compound	C02235	4-Nitrocatechol	NA
R02935<	Reaction	R02935	R02935	1.1.1.154
R03163>	Reaction	R03163	R03163	5.3.1.25
C02232	Compound	C02232	3-Oxoadipyl-CoA	NA
R00274>	Reaction	R00274	R00274	1.11.1.9
R03163<	Reaction	R03163	R03163	5.3.1.25
C01146	Compound	C01146	2-Hydroxy-3-oxopropanoate	NA
R00274<	Reaction	R00274	R00274	1.11.1.9
C01144	Compound	C01144	(S)-3-Hydroxybutanoyl-CoA	NA
C00059	Compound	C00059	Sulfate	NA
C00058	Compound	C00058	Formate	NA
R05606>	Reaction	R05606	R05606	4.2.1.8
R05606<	Reaction	R05606	R05606	4.2.1.8
C00055	Compound	C00055	CMP	NA
C00054	Compound	C00054	Adenosine 3',5'-bisphosphate	NA
C00053	Compound	C00053	3'-Phosphoadenylyl sulfate	NA
C00052	Compound	C00052	UDP-D-galactose	NA
C00051	Compound	C00051	Glutathione	NA
C04405	Compound	C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA	NA
R00803>	Reaction	R00803	R00803	2.4.1.7
C03319	Compound	C03319	dTDP-6-deoxy-L-mannose	NA
R00803<	Reaction	R00803	R00803	2.4.1.7
R04739>	Reaction	R04739	R04739	[1.1.1.211, 1.1.1.35]
C02226	Compound	C02226	2-Methylmaleate	NA
R04739<	Reaction	R04739	R04739	[1.1.1.211, 1.1.1.35]
C02225	Compound	C02225	2-Methylcitrate	NA
C14874	Compound	C14874	Glutathione episulfonium ion	NA
C02222	Compound	C02222	2-Maleylacetate	NA
C14871	Compound	C14871	S-(Formylmethyl)glutathione	NA
C01137	Compound	C01137	S-Adenosylmethioninamine	NA
C14870	Compound	C14870	2-Bromoacetaldehyde	NA
C01134	Compound	C01134	Pantetheine 4'-phosphate	NA
C00049	Compound	C00049	L-Aspartate	NA
C00048	Compound	C00048	Glyoxylate	NA
C01132	Compound	C01132	N-Acetyl-D-galactosamine	NA
R05605>	Reaction	R05605	R05605	4.1.2.14
C00047	Compound	C00047	L-Lysine	NA
C01131	Compound	C01131	L-Rhamnulose 1-phosphate	NA
C00046	Compound	C00046	RNA	NA
R05605<	Reaction	R05605	R05605	4.1.2.14
C00044	Compound	C00044	GTP	NA
C00043	Compound	C00043	UDP-N-acetyl-D-glucosamine	NA
C00042	Compound	C00042	Succinate	NA
C00041	Compound	C00041	L-Alanine	NA
C00040	Compound	C00040	Acyl-CoA	NA
R00802>	Reaction	R00802	R00802	[3.2.1.20, 3.2.1.48, 3.2.1.26]
R00802<	Reaction	R00802	R00802	[3.2.1.20, 3.2.1.48, 3.2.1.26]
R01030>	Reaction	R01030	R01030	[3.1.4.46, 3.1.4.2]
R00490>	Reaction	R00490	R00490	[4.3.1.1, 3.5.1.38]
R01030<	Reaction	R01030	R01030	[3.1.4.46, 3.1.4.2]
R00490<	Reaction	R00490	R00490	[4.3.1.1, 3.5.1.38]
R05075>	Reaction	R05075	R05075	2.3.1.-
R03270>	Reaction	R03270	R03270	1.2.4.1
R05075<	Reaction	R05075	R05075	2.3.1.-
C14868	Compound	C14868	S-(1,2-Dichlorovinyl)glutathione	NA
C02218	Compound	C02218	2-Aminoacrylate	NA
R03270<	Reaction	R03270	R03270	1.2.4.1
R04738>	Reaction	R04738	R04738	[4.2.1.17, 4.2.1.74]
C14865	Compound	C14865	2-(S-Glutathionyl)acetyl chloride	NA
R04738<	Reaction	R04738	R04738	[4.2.1.17, 4.2.1.74]
C14864	Compound	C14864	S-(2-Chloroacetyl)glutathione	NA
C14863	Compound	C14863	2-(S-Glutathionyl)acetyl glutathione	NA
C14861	Compound	C14861	S-(2,2-Dichloro-1-hydroxy)ethyl glutathione	NA
C01127	Compound	C01127	4-Hydroxy-2-oxoglutarate	NA
C00039	Compound	C00039	DNA	NA
C00037	Compound	C00037	Glycine	NA
C00036	Compound	C00036	Oxaloacetate	NA
C00035	Compound	C00035	GDP	NA
C00033	Compound	C00033	Acetate	NA
C00032	Compound	C00032	Heme	NA
C00031	Compound	C00031	D-Glucose	NA
R00801>	Reaction	R00801	R00801	3.2.1.20
R00801<	Reaction	R00801	R00801	3.2.1.20
R05074>	Reaction	R05074	R05074	2.-.-.-
C14859	Compound	C14859	Chloroacetyl chloride	NA
R05074<	Reaction	R05074	R05074	2.-.-.-
C14858	Compound	C14858	2,2-Dichloroacetaldehyde	NA
C14857	Compound	C14857	1,1-Dichloroethylene epoxide	NA
R04737>	Reaction	R04737	R04737	[1.1.1.211, 1.1.1.35]
C14856	Compound	C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene	NA
C14855	Compound	C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene	NA
R04737<	Reaction	R04737	R04737	[1.1.1.211, 1.1.1.35]
C14852	Compound	C14852	Benzo[a]pyrene-7,8-diol	NA
C01118	Compound	C01118	O-Succinyl-L-homoserine	NA
C14851	Compound	C14851	Benzo[a]pyrene-4,5-oxide	NA
R05712>	Reaction	R05712	R05712	1.7.2.2
R05712<	Reaction	R05712	R05712	1.7.2.2
R03051>	Reaction	R03051	R03051	1.1.1.86
C00029	Compound	C00029	UDP-glucose	NA
C01112	Compound	C01112	D-Arabinose 5-phosphate	NA
R03051<	Reaction	R03051	R03051	1.1.1.86
R04519>	Reaction	R04519	R04519	2.4.1.129
C00026	Compound	C00026	2-Oxoglutarate	NA
R04519<	Reaction	R04519	R04519	2.4.1.129
C00025	Compound	C00025	L-Glutamate	NA
C00024	Compound	C00024	Acetyl-CoA	NA
C11588	Compound	C11588	cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol	NA
C00022	Compound	C00022	Pyruvate	NA
C00021	Compound	C00021	S-Adenosyl-L-homocysteine	NA
C00020	Compound	C00020	AMP	NA
C11583	Compound	C11583	NA	NA
C14848	Compound	C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	NA
C14847	Compound	C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	NA
R05820>	Reaction	R05820	R05820	2.7.1.69
R05820<	Reaction	R05820	R05820	2.7.1.69
C14840	Compound	C14840	Bromobenzene-2,3-oxide	NA
R03050>	Reaction	R03050	R03050	2.2.1.6
C00019	Compound	C00019	S-Adenosyl-L-methionine	NA
C01103	Compound	C01103	Orotidine 5'-phosphate	NA
C00018	Compound	C00018	Pyridoxal phosphate	NA
C01102	Compound	C01102	O-Phospho-L-homoserine	NA
R00161>	Reaction	R00161	R00161	2.7.7.2
R03050<	Reaction	R03050	R03050	2.2.1.6
C01101	Compound	C01101	L-Ribulose 5-phosphate	NA
C00016	Compound	C00016	FAD	NA
C01100	Compound	C01100	L-Histidinol phosphate	NA
R00161<	Reaction	R00161	R00161	2.7.7.2
C00015	Compound	C00015	UDP	NA
C00014	Compound	C00014	NH3	NA
C00011	Compound	C00011	CO2	NA
C00010	Compound	C00010	CoA	NA
R02292>	Reaction	R02292	R02292	4.2.1.52
R02292<	Reaction	R02292	R02292	4.2.1.52
C14839	Compound	C14839	Bromobenzene-3,4-oxide	NA
R01737>	Reaction	R01737	R01737	2.7.1.12
R01737<	Reaction	R01737	R01737	2.7.1.12
C00008	Compound	C00008	ADP	NA
R07094>	Reaction	R07094	R07094	2.5.1.18
C00006	Compound	C00006	NADP+	NA
R07094<	Reaction	R07094	R07094	2.5.1.18
C00005	Compound	C00005	NADPH	NA
C00003	Compound	C00003	NAD+	NA
C00002	Compound	C00002	ATP	NA
R02603>	Reaction	R02603	R02603	3.7.1.-
R02603<	Reaction	R02603	R02603	3.7.1.-
R02291>	Reaction	R02291	R02291	1.2.1.11
R02291<	Reaction	R02291	R02291	1.2.1.11
R01954>	Reaction	R01954	R01954	6.3.4.5
R05071>	Reaction	R05071	R05071	[1.1.1.86, 5.4.99.3]
R01954<	Reaction	R01954	R01954	6.3.4.5
R05071<	Reaction	R05071	R05071	[1.1.1.86, 5.4.99.3]
R07093>	Reaction	R07093	R07093	2.5.1.18
R07093<	Reaction	R07093	R07093	2.5.1.18
R03867>	Reaction	R03867	R03867	2.3.2.2
R04951>	Reaction	R04951	R04951	3.4.11.2
R01518>	Reaction	R01518	R01518	[5.4.2.1, 5.4.2.4]
R03867<	Reaction	R03867	R03867	2.3.2.2
R04951<	Reaction	R04951	R04951	3.4.11.2
R01518<	Reaction	R01518	R01518	[5.4.2.1, 5.4.2.4]
R05070>	Reaction	R05070	R05070	4.2.1.9
R05070<	Reaction	R05070	R05070	4.2.1.9
C14818	Compound	C14818	Fe2+	NA
C03974	Compound	C03974	2-Acyl-sn-glycerol 3-phosphate	NA
C07091	Compound	C07091	cis-Acetylacrylate	NA
C07090	Compound	C07090	Protoanemonin	NA
C03972	Compound	C03972	2,3,4,5-Tetrahydrodipicolinate	NA
C01798	Compound	C01798	D-Glucoside	NA
R07092>	Reaction	R07092	R07092	2.5.1.18
R07092<	Reaction	R07092	R07092	2.5.1.18
C01794	Compound	C01794	Choloyl-CoA	NA
R02601>	Reaction	R02601	R02601	4.2.1.80
R02601<	Reaction	R02601	R02601	4.2.1.80
C07086	Compound	C07086	Phenylacetic acid	NA
R03648>	Reaction	R03648	R03648	6.1.1.22
C14806	Compound	C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	NA
C14805	Compound	C14805	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	NA
R03648<	Reaction	R03648	R03648	6.1.1.22
C14804	Compound	C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	NA
C14803	Compound	C14803	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	NA
R02071>	Reaction	R02071	R02071	2.7.1.56
C14802	Compound	C14802	1-Nitronaphthalene-7,8-oxide	NA
R06972>	Reaction	R06972	R06972	3.5.4.-
R02071<	Reaction	R02071	R02071	2.7.1.56
C14800	Compound	C14800	1-Nitronaphthalene-5,6-oxide	NA
R06972<	Reaction	R06972	R06972	3.5.4.-
C02876	Compound	C02876	Propanoyl phosphate	NA
R07091>	Reaction	R07091	R07091	2.5.1.18
R01625>	Reaction	R01625	R01625	2.7.8.7
C12624	Compound	C12624	2-Hydroxy-6-ketononatrienedioate	NA
R07091<	Reaction	R07091	R07091	2.5.1.18
C12623	Compound	C12623	trans-2,3-Dihydroxycinnamate	NA
R01625<	Reaction	R01625	R01625	2.7.8.7
C12622	Compound	C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	NA
C12621	Compound	C12621	trans-3-Hydroxycinnamate	NA
R04405>	Reaction	R04405	R04405	2.1.1.14
R04405<	Reaction	R04405	R04405	2.1.1.14
C00692	Compound	C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	NA
R00867>	Reaction	R00867	R00867	[2.7.1.1, 2.7.1.4]
R00867<	Reaction	R00867	R00867	[2.7.1.1, 2.7.1.4]
R06971>	Reaction	R06971	R06971	3.5.4.-
R03538>	Reaction	R03538	R03538	3.1.4.16
R06971<	Reaction	R06971	R06971	3.5.4.-
R03538<	Reaction	R03538	R03538	3.1.4.16
R02889>	Reaction	R02889	R02889	2.4.1.12
R02889<	Reaction	R02889	R02889	2.4.1.12
C00689	Compound	C00689	alpha,alpha'-Trehalose 6-phosphate	NA
C00688	Compound	C00688	dTDP-4-dehydro-6-deoxy-L-mannose	NA
C00687	Compound	C00687	dTDP-4-dehydro-6-deoxy-alpha-D-glucose	NA
R01515>	Reaction	R01515	R01515	3.6.1.7
R01515<	Reaction	R01515	R01515	3.6.1.7
C00683	Compound	C00683	(S)-2-Methyl-3-oxopropanoyl-CoA	NA
C00681	Compound	C00681	1-Acyl-sn-glycerol 3-phosphate	NA
C00680	Compound	C00680	meso-2,6-Diaminoheptanedioate	NA
R01406>	Reaction	R01406	R01406	6.2.1.20
R01406<	Reaction	R01406	R01406	6.2.1.20
R03646>	Reaction	R03646	R03646	6.1.1.19
R03646<	Reaction	R03646	R03646	6.1.1.19
R06970>	Reaction	R06970	R06970	3.5.4.-
R03537>	Reaction	R03537	R03537	3.1.4.16
R04621>	Reaction	R04621	R04621	3.6.1.-
R06970<	Reaction	R06970	R06970	3.5.4.-
R03537<	Reaction	R03537	R03537	3.1.4.16
R04621<	Reaction	R04621	R04621	3.6.1.-
R01623>	Reaction	R01623	R01623	3.1.4.14
R01623<	Reaction	R01623	R01623	3.1.4.14
C00679	Compound	C00679	5-Dehydro-4-deoxy-D-glucarate	NA
C01762	Compound	C01762	Xanthosine	NA
R01514>	Reaction	R01514	R01514	2.7.1.31
R00974>	Reaction	R00974	R00974	3.5.4.1
R01514<	Reaction	R01514	R01514	2.7.1.31
C00673	Compound	C00673	2-Deoxy-D-ribose 5-phosphate	NA
R00974<	Reaction	R00974	R00974	3.5.4.1
C00672	Compound	C00672	2-Deoxy-D-ribose 1-phosphate	NA
C00671	Compound	C00671	(S)-3-Methyl-2-oxopentanoic acid	NA
C00670	Compound	C00670	sn-glycero-3-Phosphocholine	NA
R04620>	Reaction	R04620	R04620	3.1.3.1
R01731>	Reaction	R01731	R01731	[2.6.1.78, 2.6.1.57]
R04620<	Reaction	R04620	R04620	3.1.3.1
R01731<	Reaction	R01731	R01731	[2.6.1.78, 2.6.1.57]
R02887>	Reaction	R02887	R02887	3.2.1.21
R03971>	Reaction	R03971	R03971	2.3.2.2
R02887<	Reaction	R02887	R02887	3.2.1.21
R03971<	Reaction	R03971	R03971	2.3.2.2
C00669	Compound	C00669	gamma-L-Glutamyl-L-cysteine	NA
C00668	Compound	C00668	alpha-D-Glucose 6-phosphate	NA
R02778>	Reaction	R02778	R02778	3.1.3.12
C00666	Compound	C00666	LL-2,6-Diaminoheptanedioate	NA
R00429>	Reaction	R00429	R00429	2.7.6.5
R01513>	Reaction	R01513	R01513	1.1.1.95
R02778<	Reaction	R02778	R02778	3.1.3.12
R00429<	Reaction	R00429	R00429	2.7.6.5
R01513<	Reaction	R01513	R01513	1.1.1.95
C00663	Compound	C00663	beta-D-Glucose 1-phosphate	NA
R01092>	Reaction	R01092	R01092	2.7.1.6
R01092<	Reaction	R01092	R01092	2.7.1.6
R08229>	Reaction	R08229	R08229	[]
R08229<	Reaction	R08229	R08229	[]
C02839	Compound	C02839	L-Tyrosyl-tRNA(Tyr)	NA
R05884>	Reaction	R05884	R05884	1.17.1.2
C03921	Compound	C03921	2-Dehydro-3-deoxy-D-glucarate	NA
R05884<	Reaction	R05884	R05884	1.17.1.2
R02886>	Reaction	R02886	R02886	[3.2.1.4, 3.2.1.91]
R03970>	Reaction	R03970	R03970	2.3.2.2
R02886<	Reaction	R02886	R02886	[3.2.1.4, 3.2.1.91]
R03970<	Reaction	R03970	R03970	2.3.2.2
R03317>	Reaction	R03317	R03317	1.1.1.-
R02777>	Reaction	R02777	R02777	1.1.1.133
R00428>	Reaction	R00428	R00428	3.5.4.16
R01512>	Reaction	R01512	R01512	2.7.2.3
R03317<	Reaction	R03317	R03317	1.1.1.-
C00655	Compound	C00655	Xanthosine 5'-phosphate	NA
R02777<	Reaction	R02777	R02777	1.1.1.133
R00428<	Reaction	R00428	R00428	3.5.4.16
R01512<	Reaction	R01512	R01512	2.7.2.3
R00754>	Reaction	R00754	R00754	[1.1.1.71, 1.1.1.1]
R00754<	Reaction	R00754	R00754	[1.1.1.71, 1.1.1.1]
R05883>	Reaction	R05883	R05883	1.17.4.3
C03912	Compound	C03912	(S)-1-Pyrroline-5-carboxylate	NA
R05883<	Reaction	R05883	R05883	1.17.4.3
R03425>	Reaction	R03425	R03425	1.4.4.2
R03425<	Reaction	R03425	R03425	1.4.4.2
R03316>	Reaction	R03316	R03316	1.2.4.2
C00647	Compound	C00647	Pyridoxamine phosphate	NA
R03316<	Reaction	R03316	R03316	1.2.4.2
C00645	Compound	C00645	N-Acetyl-D-mannosamine	NA
C00644	Compound	C00644	D-Mannitol 1-phosphate	NA
C00641	Compound	C00641	1,2-Diacyl-sn-glycerol	NA
R01090>	Reaction	R01090	R01090	[2.6.1.42, 2.6.1.6]
R01090<	Reaction	R01090	R01090	[2.6.1.42, 2.6.1.6]
R07687>	Reaction	R07687	R07687	1.14.-.-
R07687<	Reaction	R07687	R07687	1.14.-.-
C02814	Compound	C02814	Benzene-1,2,4-triol	NA
C00638	Compound	C00638	Long-chain fatty acid	NA
C01721	Compound	C01721	L-Fuculose	NA
R02775>	Reaction	R02775	R02775	5.1.3.13
C00636	Compound	C00636	D-Mannose 1-phosphate	NA
R00426>	Reaction	R00426	R00426	[3.6.1.19, 3.6.1.8]
R00970>	Reaction	R00970	R00970	2.7.1.48
R02775<	Reaction	R02775	R02775	5.1.3.13
R00426<	Reaction	R00426	R00426	[3.6.1.19, 3.6.1.8]
R00970<	Reaction	R00970	R00970	2.7.1.48
R05555>	Reaction	R05555	R05555	2.5.1.-
C00632	Compound	C00632	3-Hydroxyanthranilate	NA
C00631	Compound	C00631	2-Phospho-D-glycerate	NA
R05555<	Reaction	R05555	R05555	2.5.1.-
R01401>	Reaction	R01401	R01401	[3.2.2.9, 3.2.2.16]
R01401<	Reaction	R01401	R01401	[3.2.2.9, 3.2.2.16]
R02557>	Reaction	R02557	R02557	[2.4.2.4, 2.4.2.1]
