; compare-graphs  -Q regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab -wcol_Q 3 -R /bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab -return intersection+Q -o regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab -arc_id -outweight Q -null NA -v 1
; Input files
;	graph_R	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;	graph_Q	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
; Output files
;	output	regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab
;	Comparaison statistics
;	Reference graph        	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;		R nodes       	1358
;		R arcs        	170268
;	Query graph            	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
;		Q nodes       	764
;		Q arcs        	3536
;	Intersection
;		inter nodes   	764
;		inter arcs    	1577
;		inter arcs P-val	1.35081e-278
;	Union
;		union nodes   	1358
;		union arcs    	172227
;		union max arcs	921403
;	Reference not query
;		R.not.Q nodes 	594
;		R.not.Q arcs  	168691
;	Query not reference
;		Q.not.R nodes 	0
;		Q.not.R arcs  	1959
#source	target	label	color	arc_id	attribute
glgA	dppD	228	#ff0000	glgA_dppD	Q.not.R
scpC	gspA	195	#ff0000	scpC_gspA	Q.not.R
mukF	napD	214	#ff0000	mukF_napD	Q.not.R
seqA	icd	165	#ff0000	seqA_icd	Q.not.R
tnaB	phnG	157	#ff0000	tnaB_phnG	Q.not.R
cyoA	cyoB	574	#228b22	cyoA_cyoB	R.and.Q
caiE	agaB	151	#ff0000	caiE_agaB	Q.not.R
agaI	nrfE	201	#ff0000	agaI_nrfE	Q.not.R
treC	tdcD	235	#228b22	treC_tdcD	R.and.Q
bcsZ	bglF	201	#ff0000	bcsZ_bglF	Q.not.R
nrfG	xylR	171	#228b22	nrfG_xylR	R.and.Q
eda	rpsI	156	#ff0000	eda_rpsI	Q.not.R
yiaN	yiaM	318	#228b22	yiaN_yiaM	R.and.Q
agaS	nirC	179	#ff0000	agaS_nirC	Q.not.R
allD	chiA	163	#ff0000	allD_chiA	Q.not.R
nrfG	yiaL	276	#228b22	nrfG_yiaL	R.and.Q
ompA	rpsP	588	#ff0000	ompA_rpsP	Q.not.R
prpR	agaW	217	#228b22	prpR_agaW	R.and.Q
rpsC	rpsJ	336	#228b22	rpsC_rpsJ	R.and.Q
gspA	nrfF	219	#ff0000	gspA_nrfF	Q.not.R
fixC	nanC	203	#228b22	fixC_nanC	R.and.Q
idnD	idnR	151	#228b22	idnD_idnR	R.and.Q
skp	crp	228	#ff0000	skp_crp	Q.not.R
tdcD	phnC	259	#ff0000	tdcD_phnC	Q.not.R
agaB	agaD	476	#228b22	agaB_agaD	R.and.Q
ulaD	xylH	151	#228b22	ulaD_xylH	R.and.Q
gltI	glnP	306	#ff0000	gltI_glnP	Q.not.R
rpsJ	rplM	343	#228b22	rpsJ_rplM	R.and.Q
lldP	glcA	39	#228b22	lldP_glcA	R.and.Q
allB	allD	222	#ff0000	allB_allD	Q.not.R
lysA	argB	26	#ff0000	lysA_argB	Q.not.R
adiA	nrfG	212	#228b22	adiA_nrfG	R.and.Q
gltI	focA	269	#ff0000	gltI_focA	Q.not.R
edd	rpsP	235	#ff0000	edd_rpsP	Q.not.R
gatC	gatZ	588	#228b22	gatC_gatZ	R.and.Q
guaA	purL	117	#228b22	guaA_purL	R.and.Q
ecpD	agaB	209	#ff0000	ecpD_agaB	Q.not.R
yiaM	phnK	167	#ff0000	yiaM_phnK	Q.not.R
livM	livH	155	#228b22	livM_livH	R.and.Q
nuoK	nuoL	282	#228b22	nuoK_nuoL	R.and.Q
nrdA	nrdB	170	#228b22	nrdA_nrdB	R.and.Q
sucD	mreB	156	#ff0000	sucD_mreB	Q.not.R
acrE	bglG	365	#ff0000	acrE_bglG	Q.not.R
hyfA	hyfG	157	#228b22	hyfA_hyfG	R.and.Q
insK	melR	170	#ff0000	insK_melR	Q.not.R
cadC	caiE	272	#228b22	cadC_caiE	R.and.Q
carB	argD	26	#228b22	carB_argD	R.and.Q
hyaD	appC	154	#228b22	hyaD_appC	R.and.Q
bglG	sgbE	161	#228b22	bglG_sgbE	R.and.Q
glnH	icd	336	#ff0000	glnH_icd	Q.not.R
yhdX	adiA	306	#ff0000	yhdX_adiA	Q.not.R
uhpT	phnG	288	#ff0000	uhpT_phnG	Q.not.R
acrB	gltB	417	#ff0000	acrB_gltB	Q.not.R
yhdX	rhaS	204	#ff0000	yhdX_rhaS	Q.not.R
gspH	yjeP	250	#ff0000	gspH_yjeP	Q.not.R
aroA	dhaM	151	#ff0000	aroA_dhaM	Q.not.R
xylF	nrfE	306	#228b22	xylF_nrfE	R.and.Q
ihfA	gapA	238	#ff0000	ihfA_gapA	Q.not.R
rplV	rplW	461	#228b22	rplV_rplW	R.and.Q
sucA	pykF	181	#ff0000	sucA_pykF	Q.not.R
dppB	dppD	292	#228b22	dppB_dppD	R.and.Q
yiaN	ulaG	276	#228b22	yiaN_ulaG	R.and.Q
nrfG	lysU	195	#ff0000	nrfG_lysU	Q.not.R
flgA	flgD	269	#228b22	flgA_flgD	R.and.Q
trpB	purD	49	#ff0000	trpB_purD	Q.not.R
flgD	flgB	560	#228b22	flgD_flgB	R.and.Q
nuoC	nuoA	181	#228b22	nuoC_nuoA	R.and.Q
argK	agaB	247	#ff0000	argK_agaB	Q.not.R
ompA	crr	404	#228b22	ompA_crr	R.and.Q
rpsJ	hupA	163	#ff0000	rpsJ_hupA	Q.not.R
soxR	nrfE	156	#ff0000	soxR_nrfE	Q.not.R
nikC	lyx	214	#ff0000	nikC_lyx	Q.not.R
phnC	cadA	157	#ff0000	phnC_cadA	Q.not.R
insK	yjiD	187	#ff0000	insK_yjiD	Q.not.R
nanT	hyfD	231	#228b22	nanT_hyfD	R.and.Q
rplB	rplV	435	#228b22	rplB_rplV	R.and.Q
fliL	flhE	195	#228b22	fliL_flhE	R.and.Q
acrF	bglF	429	#ff0000	acrF_bglF	Q.not.R
glnP	ptsI	259	#ff0000	glnP_ptsI	Q.not.R
insK	nrfG	214	#ff0000	insK_nrfG	Q.not.R
bglF	melR	476	#228b22	bglF_melR	R.and.Q
icd	hupA	499	#ff0000	icd_hupA	Q.not.R
adhE	gapA	187	#228b22	adhE_gapA	R.and.Q
rhaR	phnG	170	#ff0000	rhaR_phnG	Q.not.R
dnaN	ssb	156	#ff0000	dnaN_ssb	Q.not.R
rpsP	rplM	157	#228b22	rpsP_rplM	R.and.Q
sucC	cyoB	179	#228b22	sucC_cyoB	R.and.Q
ilvB	ilvD	109	#ff0000	ilvB_ilvD	Q.not.R
acrF	rhaS	204	#ff0000	acrF_rhaS	Q.not.R
ftsZ	gatA	185	#ff0000	ftsZ_gatA	Q.not.R
htrE	agaI	225	#ff0000	htrE_agaI	Q.not.R
cysC	cysG	60	#ff0000	cysC_cysG	Q.not.R
paaC	hyfG	263	#228b22	paaC_hyfG	R.and.Q
tdcB	ecpD	199	#228b22	tdcB_ecpD	R.and.Q
yiaN	xylB	157	#228b22	yiaN_xylB	R.and.Q
alsB	idnD	421	#ff0000	alsB_idnD	Q.not.R
gltI	gltA	214	#ff0000	gltI_gltA	Q.not.R
gspF	insK	471	#ff0000	gspF_insK	Q.not.R
trxA	crp	204	#228b22	trxA_crp	R.and.Q
aceE	infB	168	#228b22	aceE_infB	R.and.Q
gltI	ompF	404	#ff0000	gltI_ompF	Q.not.R
acrF	yiaL	330	#ff0000	acrF_yiaL	Q.not.R
hyfB	yhdZ	151	#ff0000	hyfB_yhdZ	Q.not.R
acrF	ulaG	163	#ff0000	acrF_ulaG	Q.not.R
guaB	purF	421	#228b22	guaB_purF	R.and.Q
dppF	rbsB	152	#ff0000	dppF_rbsB	Q.not.R
agaB	adiA	151	#ff0000	agaB_adiA	Q.not.R
pykF	glyA	532	#ff0000	pykF_glyA	Q.not.R
sdhA	acnA	79	#228b22	sdhA_acnA	R.and.Q
tdcD	yiaM	151	#228b22	tdcD_yiaM	R.and.Q
glpD	sucC	55	#228b22	glpD_sucC	R.and.Q
gltL	gltK	272	#228b22	gltL_gltK	R.and.Q
cspD	ompF	159	#ff0000	cspD_ompF	Q.not.R
gspF	melB	152	#ff0000	gspF_melB	Q.not.R
tar	cheW	417	#ff0000	tar_cheW	Q.not.R
eda	rseA	171	#ff0000	eda_rseA	Q.not.R
phnL	lysU	179	#ff0000	phnL_lysU	Q.not.R
yiaM	xylF	256	#228b22	yiaM_xylF	R.and.Q
flgI	glpK	181	#ff0000	flgI_glpK	Q.not.R
yhdZ	yhdX	336	#228b22	yhdZ_yhdX	R.and.Q
ilvH	ilvB	40	#ff0000	ilvH_ilvB	Q.not.R
rpsI	hupA	332	#ff0000	rpsI_hupA	Q.not.R
glnH	cysK	191	#ff0000	glnH_cysK	Q.not.R
adiA	tdcB	185	#228b22	adiA_tdcB	R.and.Q
insK	rhaD	195	#ff0000	insK_rhaD	Q.not.R
ihfB	glnP	357	#228b22	ihfB_glnP	R.and.Q
melA	ytfE	490	#ff0000	melA_ytfE	Q.not.R
rbsR	rbsC	187	#228b22	rbsR_rbsC	R.and.Q
sucB	sucA	687	#228b22	sucB_sucA	R.and.Q
