; String coexpression dataset
; Top score coexpression interactions (> 550)
#source	target	label
COX1	ATP8	669
COX1	ATP6	647
COX1	OLI1	706
COX1	YFL002W-B	615
AI3	AI4	718
AI5_BETA	Q0255	844
ATP8	ATP6	900
ATP8	OLI1	855
ATP8	YDR098C-A	770
ATP8	YDR098C-B	693
ATP8	YDR210W-A	782
ATP8	YDR210W-B	841
ATP8	YDR261C-D	780
ATP8	YDR316W-A	740
ATP8	YDR365W-A	740
ATP8	YDR365W-B	828
ATP8	YFL002W-B	873
ATP8	YGR027W-B	785
ATP8	YGR038C-A	615
ATP8	YGR161W-B	775
ATP8	YLR227W-A	708
ATP8	YLR410W-B	764
ATP8	YNL284C-B	784
ATP8	YOL103W-A	749
ATP8	YOL103W-B	845
ATP8	YOR142W-A	708
ATP8	YOR142W-B	838
ATP8	YPL257W-A	716
ATP8	YPL257W-B	789
ATP8	YPR137C-A	691
ATP8	YPR137C-B	859
ATP8	YPR158C-C	672
ATP8	YPR158W-A	700
ATP6	OLI1	900
ATP6	YDR098C-A	838
ATP6	YDR098C-B	784
ATP6	YDR210W-A	772
ATP6	YDR210W-B	897
ATP6	YDR261C-D	785
ATP6	YDR261W-B	663
ATP6	YDR316W-A	822
ATP6	YDR316W-B	631
ATP6	YDR365W-A	791
ATP6	YDR365W-B	880
ATP6	YFL002W-B	889
ATP6	YGR027W-B	846
ATP6	YGR038C-A	687
ATP6	YGR161C-C	578
ATP6	YGR161W-B	863
ATP6	YLR227W-A	797
ATP6	YLR410W-B	878
ATP6	YNL284C-B	853
ATP6	YOL103W-A	784
ATP6	YOL103W-B	890
ATP6	YOR142W-A	799
ATP6	YOR142W-B	890
ATP6	YOR192C-A	554
ATP6	YPL257W-A	822
ATP6	YPL257W-B	879
ATP6	YPR137C-A	792
ATP6	YPR137C-B	876
ATP6	YPR158C-C	791
ATP6	YPR158W-A	807
BI3	BI4	580
OLI1	YDR098C-A	775
OLI1	YDR098C-B	643
OLI1	YDR210W-A	672
OLI1	YDR210W-B	849
OLI1	YDR261C-D	592
OLI1	YDR261W-B	697
OLI1	YDR316W-A	770
OLI1	YDR316W-B	599
OLI1	YDR365W-A	720
OLI1	YDR365W-B	825
OLI1	YFL002W-B	816
OLI1	YGR027W-B	789
OLI1	YGR038C-A	575
OLI1	YGR161W-B	802
OLI1	YLR227W-A	734
OLI1	YLR410W-B	837
OLI1	YNL284C-B	791
OLI1	YOL103W-A	773
OLI1	YOL103W-B	832
OLI1	YOR142W-A	755
OLI1	YOR142W-B	799
OLI1	YPL257W-A	777
OLI1	YPL257W-B	846
OLI1	YPR137C-A	734
OLI1	YPR137C-B	813
OLI1	YPR158C-C	748
OLI1	YPR158W-A	751
VAR1	Q0255	601
EFB1	RPL13A	565
EFB1	RPS13	605
EFB1	RPP2B	567
EFB1	RPL12A	617
EFB1	RPL11B	573
EFB1	RPL8A	573
EFB1	RPL17A	564
EFB1	RPL8B	552
EFB1	EGD1	590
SSA1	SSA2	585
YAL037C-A	BUD25	878
YAL037C-A	YGL006W-A	720
YAL037C-A	YJL136W-A	594
CDC19	PGK1	601
CDC19	ENO1	559
CDC19	ENO2	561
CDC19	FBA1	596
YAR010C	YBR012W-A	554
YAR010C	YJR028W	604
UIP3	YAR028W	594
YAR068W	YIL169C	656
PHO11	PHO12	824
HTB2	HTA2	753
HTB2	HHT1	728
HTB2	HTB1	722
HTB2	HHF2	687
HTA2	HHT1	746
HTA2	HTB1	663
HTA2	HTA1	606
HTA2	HHF2	706
YBL005W-A	YBR012W-B	746
YBL005W-A	YDR170W-A	828
YBL005W-A	YMR045C	618
YBL005W-A	YMR046C	871
YBL005W-B	YMR045C	585
RPL19B	RPS8A	757
RPL19B	RPL32	655
RPL19B	RPS9B	781
RPL19B	RPL21A	822
RPL19B	RPS14A	600
RPL19B	RPS29B	580
RPL19B	RPL31A	660
RPL19B	RPP1A	568
RPL19B	RPL13A	788
RPL19B	RPL35A	720
RPL19B	RPL4B	611
RPL19B	RPS13	735
RPL19B	RPP2B	657
RPL19B	RPL37B	710
RPL19B	RPL12A	675
RPL19B	RPL34A	689
RPL19B	RPS24A	562
RPL19B	RPS26B	658
RPL19B	RPL30	682
RPL19B	RPL24A	696
RPL19B	RPL7A	700
RPL19B	RPL28	649
RPL19B	RPS2	606
RPL19B	RPL9A	563
RPL19B	RPS25A	736
RPL19B	RPL11B	767
RPL19B	RPL24B	802
RPL19B	RPS0A	678
RPL19B	RPL14B	645
RPL19B	RPS20	591
RPL19B	RPL8A	788
RPL19B	RPL27A	661
RPL19B	RPS27B	631
RPL19B	EGD2	621
RPL19B	RPL34B	767
RPL19B	RPL16A	746
RPL19B	RPL40A	663
RPL19B	RPS21B	673
RPL19B	TIF2	631
RPL19B	RPS22A	722
RPL19B	RPS5	750
RPL19B	RPL14A	751
RPL19B	TMA19	638
RPL19B	RPS27A	573
RPL19B	RPL17A	777
RPL19B	RPS21A	675
RPL19B	RPL8B	773
RPL19B	RPL15A	667
RPL19B	RPS0B	638
RPL19B	RPL22A	724
RPL19B	RPL10	642
RPL19B	STM1	615
RPL19B	RPL37A	667
RPL19B	RPS28B	638
RPL19B	RPL38	622
RPL19B	RPS29A	740
RPL19B	RPS1A	662
RPL19B	RPL6B	702
RPL19B	RPS17A	742
RPL19B	RPS1B	742
RPL19B	RPL6A	718
RPL19B	ASC1	635
RPL19B	RPL15B	566
RPL19B	RPL13B	726
RPL19B	RPL36A	689
RPL19B	RPL9B	682
RPL19B	RPL16B	620
RPL19B	RPS7B	629
RPL19B	RPL42A	732
RPL19B	RPS3	745
RPL19B	RPL18B	716
