Gene_names	Uniprot_AC	Uniprot_ID	Status	Protein_names	Organism	Length
BRADI2G45330	I1HPY8	I1HPY8_BRADI	unreviewed	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	579
BRADI2G15790	I1HG69	I1HG69_BRADI	unreviewed	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	581
BRADI5G08220	I1IX45	I1IX45_BRADI	unreviewed	Acetolactate synthase (EC 2.2.1.6)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	646
BRADI3G44130	I1I9Y1	I1I9Y1_BRADI	unreviewed	Acetolactate synthase (EC 2.2.1.6)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	646
BRADI4G43920	I1IUV1	I1IUV1_BRADI	unreviewed	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	388
BRADI3G30480	I1I5A1	I1I5A1_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	587
BRADI3G56126	I1IE83	I1IE83_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	255
BRADI1G07910	I1GN20	I1GN20_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	373
BRADI1G32590	I1GW48	I1GW48_BRADI	unreviewed	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	315
BRADI1G32590	I1GW44	I1GW44_BRADI	unreviewed	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	343
BRADI1G32590	I1GW49	I1GW49_BRADI	unreviewed	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	289
BRADI3G45427	I1IAE1	I1IAE1_BRADI	unreviewed	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	539
BRADI1G11490	I1GP88	I1GP88_BRADI	unreviewed	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	605
BRADI4G43130	I1IUJ8	I1IUJ8_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	633
BRADI5G26890	I1J3L6	I1J3L6_BRADI	unreviewed	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	403
BRADI2G38100	I1HML2	I1HML2_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	411
BRADI3G32830	I1I5Z2	I1I5Z2_BRADI	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	423
BRADI3G42960	I1I9I3	I1I9I3_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	596
BRADI1G69160	I1H7T4	I1H7T4_BRADI	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	408
BRADI1G69160	I1H7T5	I1H7T5_BRADI	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	394
BRADI4G20840	I1IM61	I1IM61_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	474
BRADI3G48370	I1IBF7	I1IBF7_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	512
BRADI1G78130	I1HAR9	I1HAR9_BRADI	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	408
BRADI5G18160	I1J0I3	I1J0I3_BRADI	unreviewed	Uncharacterized protein	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	411
BRADI3G32830	I1I5Z3	I1I5Z3_BRADI	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	409
