gene_ID	gene_ids_ensemblplants	gene_name_primary	gene_names	uniprot_id	protein_names	unigene_ids	Status
AT1G14810.1	AT1G14810.1;		At1g14810	Q8VYI4_ARATH	Aspartate semialdehyde dehydrogenase (Aspartate-semialdehyde dehydrogenase, putative) (At1g14810/F10B6_6)	At.28249;At.74964;	unreviewed
AT1G31230.1	AT1G31230.1;	AKHSDH1	AKHSDH1 AK-HSDH I At1g31230 F28K20.19 T19E23.1	AKH1_ARATH	Bifunctional aspartokinase/homoserine dehydrogenase 1, chloroplastic (AK-HD 1) (AK-HSDH 1) (Beta-aspartyl phosphate homoserine 1) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	At.48251;At.71214;	reviewed
AT1G33320.1	AT1G33320.1;	CGS2	CGS2 At1g33320 F10C21.1 T16O9.8	CGS2_ARATH	Probable cystathionine gamma-synthase 2 (EC 2.5.1.48)	At.51901;	reviewed
AT1G49820.1	AT1G49820.1;	MTK	MTK At1g49820 F10F5.1	MTK_ARATH	Methylthioribose kinase (AtMTK) (MTR kinase) (EC 2.7.1.100)	At.20360;	reviewed
AT1G50110.1	AT1G50110.1;	BCAT6	BCAT6 At1g50110 F2J10.4	BCAT6_ARATH	Branched-chain-amino-acid aminotransferase 6 (Atbcat-6) (EC 2.6.1.42)	At.10368;At.67645;	reviewed
AT2G05830.1	AT2G05830.1;		At2g05830 T6P5.3	MTNA_ARATH	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	At.41143;	reviewed
AT2G17265.1	AT2G17265.1;	HSK	HSK DMR1 At2g17265 F5J6.24	KHSE_ARATH	Homoserine kinase (EC 2.7.1.39) (Protein DOWNY MILDEW RESISTANT 1)	At.10492;At.26823;	reviewed
AT2G26400.1	AT2G26400.1;	ARD1	ARD1 At2g26400 T9J22.7	MTND1_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 1) (ARD 1) (Fe-ARD 1)	At.38900;	reviewed
AT3G01120.1	AT3G01120.1;	CGS1	CGS1 CYS1 MTO1 At3g01120 T4P13.19	CGS1_ARATH	Cystathionine gamma-synthase 1, chloroplastic (AtCGS1) (EC 2.5.1.48) (METHIONINE OVERACCUMULATION 1) (O-succinylhomoserine (thiol)-lyase)	At.20198;	reviewed
AT3G03780.1	AT3G03780.1;AT3G03780.2;AT3G03780.3;	MS2	MS2 At3g03780 F20H23.19	METE2_ARATH	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 2) (AtMS2)	At.18359;	reviewed
AT3G22740.1	AT3G22740.1;	HMT3	HMT3 At3g22740 MWI23.11	HMT3_ARATH	Homocysteine S-methyltransferase 3 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 3) (AtHMT-3) (SMM:Hcy S-methyltransferase 3)	At.6305;	reviewed
AT3G25900.1	AT3G25900.1;	HMT-1	HMT-1 At3g25900 MPE11.5 MPE11.6	HMT1_ARATH	Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (AtHMT-1) (SMM:Hcy S-methyltransferase 1)	At.23868;	reviewed
AT3G25900.2	AT3G25900.2;	HMT-1	HMT-1 At3g25900	F4JBA8_ARATH	Homocysteine S-methyltransferase 1	At.23868;	unreviewed
AT3G57050.1	AT3G57050.1;		At3g57050 F24I3.130	METC_ARATH	Cystathionine beta-lyase, chloroplastic (CBL) (EC 4.4.1.8) (Beta-cystathionase) (Cysteine lyase)	At.24673;	reviewed
AT3G57050.1	AT3G57050.1;		At3g57050	B9DGA0_ARATH	AT3G57050 protein	At.24673;	unreviewed
AT3G59970.2	AT3G59970.2;	MTHFR1	MTHFR1 At3g59970	F4JAK1_ARATH	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	At.1168;At.23509;At.69007;At.72842;	unreviewed
AT3G59970.3	AT3G59970.3;	MTHFR1	MTHFR1 At3g59970 F24G16.240	MTHR1_ARATH	Methylenetetrahydrofolate reductase 1 (AtMTHFR1) (EC 1.5.1.20)	At.1168;At.23509;At.69007;At.72842;	reviewed
AT3G63250.1	AT3G63250.1;	HMT-2	HMT-2 At3g63250 F16M2.100	HMT2_ARATH	Homocysteine S-methyltransferase 2 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 2) (AtHMT-2) (SMM:Hcy S-methyltransferase 2)	At.21554;	reviewed
AT4G14710.1	AT4G14710.1;AT4G14710.2;	ARD3	ARD3 At4g14710 dl3395c FCAALL.141	MTND3_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 3) (ARD 3) (Fe-ARD 3)	At.43943;At.70068;	reviewed
AT4G14710.3	AT4G14710.3;	ATARD2	ATARD2 At4g14710	F4JIE0_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3	At.43943;At.70068;	unreviewed
AT4G14710.4	AT4G14710.4;	ATARD2	ATARD2 At4g14710	B3H6E4_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3	At.43943;At.70068;	unreviewed
AT4G14710.5	AT4G14710.5;	ATARD2	ATARD2 At4g14710	F4JIE1_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3	At.43943;At.70068;	unreviewed
AT4G14716.1	AT4G14716.1;	ARD2	ARD2 At4g14716 dl3395c FCAALL.100	MTND2_ARATH	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring) 2) (ARD 2) (Fe-ARD 2)	At.43943;At.70068;	reviewed
AT4G14716.1	AT4G14716.1;		At4g14716	Q0WSS4_ARATH	Putative uncharacterized protein At4g14716	At.43943;At.70068;	unreviewed
AT4G19710.2	AT4G19710.2;	AKHSDH2	AKHSDH2 AK-HSDH II At4g19710 T16H5.70	AKH2_ARATH	Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic (AK-HD 2) (AK-HSDH 2) (Beta-aspartyl phosphate homoserine 2) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	At.32787;	reviewed
AT4G30550.1	AT4G30550.1;		At4g30550	Q9M0A5_ARATH	Gamma-glutamyl peptidase 3 (Putative uncharacterized protein AT4g30550)	At.27062;At.54558;	unreviewed
AT4G34840.1	AT4G34840.1;	MTN2	MTN2 MTAN2 At4g34840 T11I11.80	MTN2_ARATH	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 2 (AtMTN2) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (MTA/SAH nucleosidase 2) (AtMTAN2) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	At.31466;	reviewed
AT4G38800.1	AT4G38800.1;	MTN1	MTN1 MTAN MTAN1 At4g38800 T9A14.80	MTN1_ARATH	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1 (AtMTN1) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (MTA/SAH nucleosidase 1) (AtMTAN1) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	At.2827;At.31148;	reviewed
AT5G17920.1	AT5G17920.1;AT5G17920.2;	MS1	MS1 CIMS At5g17920 MPI7.9	METE1_ARATH	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 1) (AtMS1) (Vitamin-B12-independent methionine synthase 1)	At.22340;At.24550;At.71028;	reviewed
AT5G20980.1	AT5G20980.1;AT5G20980.2;	MS3	MS3 At5g20980 F22D1	METE3_ARATH	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 3, chloroplastic (EC 2.1.1.14) (Cobalamin-independent methionine synthase 3) (AtMS3)	At.31122;	reviewed
AT5G21060.1	AT5G21060.1;		At5g21060	Q84JZ4_ARATH	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	At.20914;At.66690;	unreviewed
